,Iteration,Parameter,ESS
16,1600,Log std. myokit.volume,1.655125739627347
17,1700,Log std. myokit.volume,2.1493041825809236
18,1800,Log std. myokit.volume,6.442615513996019
19,1900,Log std. myokit.volume,7.48894755226633
20,2000,Log std. myokit.volume,6.918878158037696
21,2100,Log std. myokit.volume,6.010974944612439
22,2200,Log std. myokit.volume,5.410031105605366
23,2300,Log std. myokit.volume,5.0745115989398855
24,2400,Log std. myokit.volume,7.285495698682772
25,2500,Log std. myokit.volume,8.192956610428014
26,2600,Log std. myokit.volume,7.937777762322228
27,2700,Log std. myokit.volume,7.681919139531274
28,2800,Log std. myokit.volume,7.646946631957275
29,2900,Log std. myokit.volume,7.883799346301366
30,3000,Log std. myokit.volume,8.54106293240484
31,3100,Log std. myokit.volume,9.220063822241013
32,3200,Log std. myokit.volume,9.777702315567742
33,3300,Log std. myokit.volume,10.155143447206232
34,3400,Log std. myokit.volume,10.310708518826603
35,3500,Log std. myokit.volume,7.611665087751689
36,3600,Log std. myokit.volume,4.5521980181949875
37,3700,Log std. myokit.volume,3.100965914419046
38,3800,Log std. myokit.volume,2.5964703689593196
39,3900,Log std. myokit.volume,2.281177551727698
40,4000,Log std. myokit.volume,2.0645122469265385
41,4100,Log std. myokit.volume,2.0439784176646216
42,4200,Log std. myokit.volume,2.3078724684846232
43,4300,Log std. myokit.volume,2.555018156853165
44,4400,Log std. myokit.volume,2.827281422309323
45,4500,Log std. myokit.volume,2.9722361136679365
46,4600,Log std. myokit.volume,3.256891477737808
47,4700,Log std. myokit.volume,3.6133679769979326
48,4800,Log std. myokit.volume,3.4804969624635853
49,4900,Log std. myokit.volume,3.5257928161343544
50,5000,Log std. myokit.volume,3.2777419003223334
51,5100,Log std. myokit.volume,3.072169132335057
52,5200,Log std. myokit.volume,3.010802078809549
53,5300,Log std. myokit.volume,2.8652651914247835
54,5400,Log std. myokit.volume,2.6418555824012664
55,5500,Log std. myokit.volume,2.49758348099313
56,5600,Log std. myokit.volume,2.4611247255616835
57,5700,Log std. myokit.volume,2.34949843469051
58,5800,Log std. myokit.volume,2.243490423822886
59,5900,Log std. myokit.volume,2.1460804629711006
60,6000,Log std. myokit.volume,2.062823951997029
61,6100,Log std. myokit.volume,1.9922725120577092
62,6200,Log std. myokit.volume,1.957371400245088
63,6300,Log std. myokit.volume,1.9195523565135266
64,6400,Log std. myokit.volume,1.8858485277042731
65,6500,Log std. myokit.volume,1.861432971046017
66,6600,Log std. myokit.volume,1.8079041787507528
67,6700,Log std. myokit.volume,1.7840788761608422
68,6800,Log std. myokit.volume,1.7754628633923222
69,6900,Log std. myokit.volume,1.741059589439505
70,7000,Log std. myokit.volume,1.6988877143802592
71,7100,Log std. myokit.volume,1.6732631601223134
72,7200,Log std. myokit.volume,1.6409315390357788
73,7300,Log std. myokit.volume,1.6213372764323304
74,7400,Log std. myokit.volume,1.5839366170502238
75,7500,Log std. myokit.volume,1.5736003301150545
76,7600,Log std. myokit.volume,1.5642171030383443
77,7700,Log std. myokit.volume,1.5383880036863822
78,7800,Log std. myokit.volume,1.5060347724586496
79,7900,Log std. myokit.volume,1.4870210754613313
80,8000,Log std. myokit.volume,1.4679032362276196
81,8100,Log std. myokit.volume,1.4459124610026919
82,8200,Log std. myokit.volume,1.412563469400351
83,8300,Log std. myokit.volume,1.3880220482714103
84,8400,Log std. myokit.volume,1.371452158577815
85,8500,Log std. myokit.volume,1.3433175879738584
86,8600,Log std. myokit.volume,1.3264490719643638
87,8700,Log std. myokit.volume,1.3325433975906207
88,8800,Log std. myokit.volume,1.3436152227078981
